number;id;exp_x;exp_y;coeff
1;a6a068a075e6d37a96b3922d38cc56b0;0,1,0,1;0,0,1,1;-0.088756,0.59414,0.22867,0.17015
2;d04baa82e0f807196c45450786d616ab;0,1,0,1;0,0,1,1;0.088756,-0.59414,-0.22867,-0.17015
3;9c469d7854cdb09290680f17cdd18fee;0,1,0,1;0,0,1,1;0.33739,0.36038,0.41965,-0.17322
4;99ff79afba68b5250e46eb1ee62ae5e6;0,1,0,1;0,0,1,1;-0.33739,-0.36038,-0.41965,0.17322
5;458e52c72537b1cc3d96d20b225963ff;0,1,0,1;0,0,1,1;-0.14939,0.16906,0.23048,-0.083528
6;c462ab1cc4dd0821f5a42dd03d2c9dc0;0,1,0,1;0,0,1,1;0.14939,-0.16906,-0.23048,0.083528
7;86791adeb24851ae9bd3f4419416f295;0,1,0,1;0,0,1,1;-0.2436,0.030447,0.33005,0.023516
8;7ab7046e3fa23fd4161c3d644e6640d6;0,1,0,1;0,0,1,1;0.2436,-0.030447,-0.33005,-0.023516
9;5e9ca2a2b1419a14102e743419fc21cc;0,1,0,1;0,0,1,1;0.0033838,0.53321,0.39917,0.030558
10;b162bd935fa02286f7fe201ceaa327c6;0,1,0,1;0,0,1,1;-0.0033838,-0.53321,-0.39917,-0.030558
11;e0beaea894bc6ef9bb57456b39a0fea5;0,1,0,1;0,0,1,1;0.045388,0.25582,0.2721,-0.17749
12;64093f34cc50965696dd97d32ac4f312;0,1,0,1;0,0,1,1;-0.045388,-0.25582,-0.2721,0.17749
13;b8c54ff4220583c23f543c02db5f54e2;0,1,0,1;0,0,1,1;0.093701,0.23465,0.653,-0.17585
14;372a56cac67dbaa6ce4091cd1fdc1159;0,1,0,1;0,0,1,1;-0.093701,-0.23465,-0.653,0.17585
15;bec91b0e3e8788bd65f4a62ce1fe503b;0,1,0,1;0,0,1,1;-0.31788,0.13328,0.4111,0.11226
16;c2f7797bc14d819a0c24c6b87c4e0a1c;0,1,0,1;0,0,1,1;0.31788,-0.13328,-0.4111,-0.11226
17;e4666d7885f2f45be9f58617a3839c55;0,1,0,1;0,0,1,1;0.075919,0.37707,0.20411,-0.17249
18;89144e27f6e5829e84046371024d878c;0,1,0,1;0,0,1,1;-0.075919,-0.37707,-0.20411,0.17249
19;b82cb4a2b13b42c5d4a9a76d868c5d30;0,1,0,1;0,0,1,1;0.46626,0.44162,0.23207,-0.19669
20;51c41792ef401400edcd003b44f719bb;0,1,0,1;0,0,1,1;-0.46626,-0.44162,-0.23207,0.19669
21;400a9c8bdcf0422f7e13be95573b76fe;0,1,0,1;0,0,1,1;-0.28385,0.3202,0.65181,0.27541
22;c7a14376ff2627413a7afdb816ee5572;0,1,0,1;0,0,1,1;0.28385,-0.3202,-0.65181,-0.27541
23;a17c9d2e4ea7cce7a03918940cb72d87;0,1,0,1;0,0,1,1;0.40329,0.38023,0.076956,-0.059295
24;df15a77d03d9980e2b3d3ff9478bfd40;0,1,0,1;0,0,1,1;-0.40329,-0.38023,-0.076956,0.059295
25;d867dcf7063faaeb15b41bc2985ce00b;0,1,0,1;0,0,1,1;0.11769,0.018251,0.56895,-0.0072423
26;0a96c8d6dc0ed2d3d4032f3df7e72eef;0,1,0,1;0,0,1,1;-0.11769,-0.018251,-0.56895,0.0072423
27;eb24b6da65a67af8aee223e7dafdba02;0,1,0,1;0,0,1,1;-0.25016,0.1511,0.13323,0.09686
28;1917fa1202fd8f18b45641f183544c2f;0,1,0,1;0,0,1,1;0.25016,-0.1511,-0.13323,-0.09686
29;39eeff0c5ee3a664b6796b1c831e94cf;0,1,0,1;0,0,1,1;-0.0083322,0.19634,0.18726,0.15406
30;8975ef7df607253689476eae7028baf9;0,1,0,1;0,0,1,1;0.0083322,-0.19634,-0.18726,-0.15406
31;96ddb7ad56e07aa198b48366f12c121a;0,1,0,1;0,0,1,1;-0.0491,0.27302,0.55782,0.049477
32;1ebda8d24d83ec4312619f4fe54d034f;0,1,0,1;0,0,1,1;0.0491,-0.27302,-0.55782,-0.049477
33;39826e054937b0ef9663563c460a0417;0,1,0,1;0,0,1,1;-0.30151,0.23472,0.1073,0.036218
34;9e71237cdf2f4382f6a710dd85355af3;0,1,0,1;0,0,1,1;0.30151,-0.23472,-0.1073,-0.036218
35;f98c6489e96a73c08ba73e4e2c799a2f;0,1,0,1;0,0,1,1;0.17977,0.23518,0.67368,-0.19354
36;c911783c6f928ba623f2b30bcbf7db83;0,1,0,1;0,0,1,1;-0.17977,-0.23518,-0.67368,0.19354
37;f853cd28e4ec9beced31976411f584f0;0,1,0,1;0,0,1,1;-0.26169,0.15644,0.27091,-0.090011
38;f5f6edafb4b092756eb6acc36ead3b95;0,1,0,1;0,0,1,1;0.26169,-0.15644,-0.27091,0.090011
39;20d5b2348ee91b6b3810e5cf0f4ce92d;0,1,0,1;0,0,1,1;0.26873,0.4499,0.22493,-0.2162
40;ad229f101303be9fdb864c8d10334cbc;0,1,0,1;0,0,1,1;-0.26873,-0.4499,-0.22493,0.2162
41;b37cb180d2e68189e6fbde47a6798268;0,1,0,1;0,0,1,1;0.17747,0.14116,0.034562,-0.019691
42;f25c388b120cd9b1505a1079870893de;0,1,0,1;0,0,1,1;-0.17747,-0.14116,-0.034562,0.019691
43;884353989b8bb9c30d609ebddf84f980;0,1,0,1;0,0,1,1;0.21207,0.45336,0.10946,-0.017164
44;b4a23d916a4dea7cca2f852d9be8ae34;0,1,0,1;0,0,1,1;-0.21207,-0.45336,-0.10946,0.017164
45;a2b50c81e5a508d1e458af5b888a0b93;0,1,0,1;0,0,1,1;0.033344,0.31286,0.13376,-0.083547
46;164c47bbcbd5b04286fb328de5856aca;0,1,0,1;0,0,1,1;-0.033344,-0.31286,-0.13376,0.083547
47;cf81ff07d517b6afd7502217312e91bf;0,1,0,1;0,0,1,1;0.2962,0.11472,0.37563,-0.04701
48;eb3a6b0afd3c5b931f5e435d0f2a5bc0;0,1,0,1;0,0,1,1;-0.2962,-0.11472,-0.37563,0.04701
49;a7442cb5ceb788b85f4541265c2d9228;0,1,0,1;0,0,1,1;0.3253,0.31028,0.2472,-0.15271
50;8e2f7f93619b8dd541e7529361a3038e;0,1,0,1;0,0,1,1;-0.3253,-0.31028,-0.2472,0.15271
51;3fdca475a93a711bcd8d7607dff1440b;0,1,0,1;0,0,1,1;-0.36571,0.52511,0.40082,0.30416
52;50ba9f665df9dd61c85ab87c0f7bf910;0,1,0,1;0,0,1,1;0.36571,-0.52511,-0.40082,-0.30416
53;5398a9105820a498d2efab57b0749b6b;0,1,0,1;0,0,1,1;-0.26957,0.27859,0.49661,0.093826
54;b566ef510113cd647bad3bc145e84e77;0,1,0,1;0,0,1,1;0.26957,-0.27859,-0.49661,-0.093826
55;20c52bcb181589ad95c5f4b024558c61;0,1,0,1;0,0,1,1;-0.03431,0.18494,0.42088,0.17923
56;d7a5d6837f9c315aba8a4e349885aa83;0,1,0,1;0,0,1,1;0.03431,-0.18494,-0.42088,-0.17923
57;5411243f4fcf2ec36d50dca8858b95b3;0,1,0,1;0,0,1,1;0.060189,0.19596,0.22985,0.15705
58;56f06f7505611158c3d6ffe66ef4d247;0,1,0,1;0,0,1,1;-0.060189,-0.19596,-0.22985,-0.15705
59;a61fbc94b09baa0da2458d866f5caf64;0,1,0,1;0,0,1,1;0.13917,0.41494,0.38358,-0.0056802
60;ab8797f2b053be84c90141db603e2831;0,1,0,1;0,0,1,1;-0.13917,-0.41494,-0.38358,0.0056802
61;22be186f872f8cbaa523d21050dfa51f;0,1,0,1;0,0,1,1;0.39141,0.42838,0.51616,-0.38013
62;82b4f4a41c7a1788a2a6e8b012b4d985;0,1,0,1;0,0,1,1;-0.39141,-0.42838,-0.51616,0.38013
63;cee371bd98b2759b60b742397718d489;0,1,0,1;0,0,1,1;0.34887,0.27864,0.2943,-0.083212
64;25ea98aed0cc3438f85811c172581931;0,1,0,1;0,0,1,1;-0.34887,-0.27864,-0.2943,0.083212
65;bef983a4bb967c19d064e580e7e4f008;0,1,0,1;0,0,1,1;-0.1545,0.18921,0.34703,-0.061991
66;4c76c6cf13eb7b9956a657e8f737021d;0,1,0,1;0,0,1,1;0.1545,-0.18921,-0.34703,0.061991
